,fps,duration,cudaTotal
avg_48,46.2331,21.7047,0
max_48,49.8233,25.6975,0
min_48,38.9143,20.0709,0
2,40.3099,24.8078,0
3,46.5412,21.4863,0
4,48.1339,20.7754,0
5,44.777,22.3329,0
6,49.5812,20.1689,0
7,45.7499,21.858,0
8,44.4707,22.4867,0
9,45.3786,22.0368,0
10,44.6812,22.3808,0
11,43.2476,23.1227,0
12,47.9137,20.8708,0
13,47.0967,21.2329,0
14,44.9769,22.2336,0
15,48.3404,20.6866,0
16,49.1894,20.3296,0
17,46.595,21.4615,0
18,48.0472,20.8129,0
19,43.7614,22.8512,0
20,38.9143,25.6975,0
21,49.0181,20.4006,0
22,47.3616,21.1141,0
23,39.6634,25.2122,0
24,46.2961,21.6001,0
25,49.1171,20.3595,0
26,44.157,22.6465,0
27,46.4525,21.5273,0
28,45.4891,21.9833,0
29,44.6815,22.3806,0
30,46.0033,21.7375,0
31,49.8233,20.0709,0
32,46.1318,21.677,0
33,48.4229,20.6514,0
34,49.098,20.3674,0
35,45.0048,22.2198,0
36,49.3589,20.2598,0
37,49.2364,20.3102,0
38,46.6446,21.4387,0
39,47.1143,21.225,0
40,49.1495,20.3461,0
41,44.7381,22.3523,0
42,47.0894,21.2362,0
43,47.7081,20.9608,0
44,44.9645,22.2397,0
45,47.2996,21.1418,0
46,49.3206,20.2755,0
47,42.4019,23.5839,0
48,41.1977,24.2732,0
49,48.5397,20.6017,0
