,fps,duration,cudaTotal
avg_48,25.0593,39.9861,0
max_48,26.7649,46.3319,0
min_48,21.5834,37.3623,0
2,24.7058,40.4763,0
3,25.6933,38.9207,0
4,24.4799,40.8499,0
5,25.0138,39.978,0
6,26.684,37.4757,0
7,25.7731,38.8002,0
8,25.4949,39.2235,0
9,25.1904,39.6976,0
10,24.9063,40.1505,0
11,26.0719,38.3555,0
12,26.4599,37.793,0
13,25.1703,39.7294,0
14,25.2233,39.6459,0
15,25.5023,39.2122,0
16,24.6648,40.5436,0
17,23.7009,42.1925,0
18,25.8219,38.7268,0
19,23.717,42.1638,0
20,24.0955,41.5015,0
21,24.891,40.1752,0
22,26.0393,38.4034,0
23,23.8856,41.8662,0
24,25.9288,38.5671,0
25,25.22,39.6511,0
26,24.8887,40.1788,0
27,26.3976,37.8822,0
28,25.7252,38.8724,0
29,25.5435,39.1489,0
30,26.0187,38.4338,0
31,21.5834,46.3319,0
32,23.4008,42.7335,0
33,23.3296,42.864,0
34,25.5067,39.2053,0
35,21.8993,45.6636,0
36,25.8302,38.7144,0
37,24.6447,40.5767,0
38,25.2329,39.6309,0
39,26.6679,37.4983,0
40,26.7649,37.3623,0
41,24.5661,40.7065,0
42,24.7665,40.3772,0
43,25.9788,38.4929,0
44,24.5706,40.699,0
45,24.4699,40.8665,0
46,24.8648,40.2175,0
47,25.3945,39.3787,0
48,26.2749,38.0591,0
49,24.1906,41.3384,0
