,fps,duration,cudaTotal
avg_48,48.1678,20.779,0
max_48,50.6661,22.7262,0
min_48,44.0021,19.7371,0
2,48.7293,20.5215,0
3,46.5118,21.4999,0
4,50.2164,19.9138,0
5,49.9945,20.0022,0
6,48.5807,20.5843,0
7,49.4832,20.2089,0
8,47.9305,20.8635,0
9,44.0021,22.7262,0
10,49.192,20.3285,0
11,47.7086,20.9606,0
12,47.0848,21.2383,0
13,48.163,20.7628,0
14,47.9087,20.873,0
15,46.3081,21.5945,0
16,50.6661,19.7371,0
17,49.1858,20.3311,0
18,47.9797,20.8422,0
19,48.4396,20.6443,0
20,48.0486,20.8123,0
21,46.6823,21.4214,0
22,48.8075,20.4886,0
23,49.0292,20.396,0
24,48.8541,20.4691,0
25,50.1567,19.9375,0
26,49.5818,20.1687,0
27,50.4663,19.8152,0
28,44.3614,22.5421,0
29,48.0571,20.8086,0
30,47.6551,20.9841,0
31,47.8466,20.9001,0
32,48.9034,20.4485,0
33,48.973,20.4194,0
34,46.6156,21.452,0
35,47.8315,20.9067,0
36,47.558,21.027,0
37,47.6251,20.9973,0
38,49.0645,20.3813,0
39,47.7531,20.941,0
40,47.0564,21.2511,0
41,48.2834,20.7111,0
42,49.4379,20.2274,0
43,48.2606,20.7208,0
44,49.2467,20.3059,0
45,48.4674,20.6324,0
46,44.6808,22.381,0
47,48.6207,20.5674,0
48,48.2089,20.743,0
49,47.8382,20.9038,0
