,fps,duration,cudaTotal
avg_48,41.1187,24.3365,0
max_48,43.4262,25.6814,0
min_48,38.9387,23.0276,0
2,40.7548,24.537,0
3,41.4539,24.1232,0
4,39.8715,25.0806,0
5,39.2405,25.4839,0
6,38.9387,25.6814,0
7,39.6463,25.223,0
8,39.9473,25.033,0
9,42.3044,23.6382,0
10,40.843,24.484,0
11,39.9906,25.0059,0
12,40.8267,24.4938,0
13,41.5785,24.0509,0
14,41.7312,23.9629,0
15,42.731,23.4022,0
16,42.7261,23.4049,0
17,43.4262,23.0276,0
18,39.7038,25.1865,0
19,40.7873,24.5175,0
20,40.9635,24.412,0
21,42.4766,23.5424,0
22,41.8465,23.8969,0
23,40.6961,24.5724,0
24,40.6216,24.6174,0
25,39.1576,25.5378,0
26,40.8691,24.4684,0
27,40.2492,24.8452,0
28,40.8776,24.4633,0
29,41.5458,24.0698,0
30,41.8094,23.9181,0
31,41.9653,23.8292,0
32,41.6766,23.9943,0
33,39.4326,25.3597,0
34,39.9102,25.0563,0
35,40.6321,24.6111,0
36,40.7353,24.5487,0
37,41.9571,23.8339,0
38,41.807,23.9194,0
39,41.5827,24.0485,0
40,41.4785,24.1089,0
41,40.771,24.5272,0
42,41.7906,23.9288,0
43,42.9355,23.2908,0
44,42.7428,23.3958,0
45,41.9174,23.8564,0
46,41.0697,24.3489,0
47,39.7975,25.1272,0
48,42.0797,23.7644,0
49,41.8002,23.9233,0
