,fps,duration,cudaTotal
avg_48,36.808,27.1871,0
max_48,38.6689,28.9292,0
min_48,34.5672,25.8606,0
2,34.5672,28.9292,0
3,36.4519,27.4334,0
4,35.7723,27.9546,0
5,35.5405,28.1369,0
6,35.1716,28.432,0
7,35.3721,28.2709,0
8,34.682,28.8334,0
9,38.6689,25.8606,0
10,37.9581,26.3448,0
11,36.9342,27.0752,0
12,36.3635,27.5001,0
13,36.206,27.6198,0
14,36.6423,27.2909,0
15,37.994,26.3199,0
16,36.8319,27.1504,0
17,37.464,26.6923,0
18,36.017,27.7646,0
19,37.7837,26.4664,0
20,37.4054,26.7341,0
21,36.9041,27.0973,0
22,37.5196,26.6527,0
23,36.3822,27.486,0
24,37.6871,26.5343,0
25,35.2976,28.3306,0
26,35.6482,28.0519,0
27,38.245,26.1472,0
28,37.4182,26.725,0
29,37.1003,26.954,0
30,37.5885,26.6039,0
31,35.8216,27.9161,0
32,37.8071,26.4501,0
33,37.5413,26.6373,0
34,36.5326,27.3728,0
35,37.4295,26.7169,0
36,37.4961,26.6694,0
37,37.8113,26.4471,0
38,34.8795,28.6702,0
39,37.4519,26.7009,0
40,37.0613,26.9823,0
41,37.1733,26.901,0
42,37.2791,26.8247,0
43,37.7797,26.4692,0
44,36.5095,27.3901,0
45,36.4659,27.4229,0
46,37.3443,26.7778,0
47,36.712,27.239,0
48,37.0877,26.9631,0
49,36.9832,27.0393,0
