,fps,duration,cudaTotal
avg_48,29.5087,33.9161,0
max_48,30.6029,36.5546,0
min_48,27.3564,32.6766,0
2,29.0404,34.4348,0
3,28.9958,34.4878,0
4,28.4895,35.1007,0
5,29.1332,34.3251,0
6,30.4035,32.891,0
7,30.4238,32.869,0
8,30.434,32.858,0
9,27.3564,36.5546,0
10,30.5691,32.7128,0
11,30.5271,32.7578,0
12,30.2996,33.0038,0
13,30.121,33.1995,0
14,29.5578,33.832,0
15,30.101,33.2214,0
16,29.2075,34.2378,0
17,30.5423,32.7415,0
18,29.9896,33.3448,0
19,30.6029,32.6766,0
20,29.7499,33.6135,0
21,30.1555,33.1615,0
22,29.3287,34.0963,0
23,30.3117,32.9906,0
24,28.866,34.6428,0
25,29.0245,34.4536,0
26,30.2153,33.0958,0
27,30.0797,33.245,0
28,30.1588,33.1578,0
29,30.0314,33.2985,0
30,30.3341,32.9662,0
31,30.04,33.2889,0
32,28.4405,35.1611,0
33,29.405,34.0078,0
34,29.4928,33.9066,0
35,29.0271,34.4506,0
36,28.5207,35.0623,0
37,29.0725,34.3967,0
38,28.8968,34.606,0
39,27.8742,35.8755,0
40,29.2515,34.1863,0
41,29.0556,34.4167,0
42,27.8102,35.958,0
43,29.0783,34.3899,0
44,28.8459,34.667,0
45,28.5086,35.0771,0
46,28.0581,35.6404,0
47,30.3756,32.9211,0
48,30.4253,32.8674,0
49,30.1893,33.1243,0
